SearchTeam,Player,Team,Experience,Minutes,Pace,PTS,AST,DREB,OREB,BLK,STL,TOV,FGA,FTA,FG3A,RimFGA,PF
Philadelphia 76ers,Tyrese Maxey,Philadelphia 76ers,Vet,37.5,96.3,26.1,6.4,3.2,0.4,0.4,1.4,2.3,20,5.4,9.3,4.9,2.1
Philadelphia 76ers,Paul George,Philadelphia 76ers,Vet,32.6,97.2,18.4,4.5,4.8,0.7,0.4,1.5,2.4,15,3.1,7,1.6,2.6
Philadelphia 76ers,Joel Embiid,Philadelphia 76ers,Vet,22.3,97.1,18.3,3.3,5,1.5,1,0.7,2.5,13.1,6.5,2.8,2.6,2
Philadelphia 76ers,Kelly Oubre Jr.,Philadelphia 76ers,Vet,34,96.1,14.7,2,4.5,1.7,0.6,1.4,1.4,11.7,3.1,3.8,3.8,2.9
Philadelphia 76ers,Guerschon Yabusele,Philadelphia 76ers,Vet,25.1,95.1,9.4,1.9,3.4,1.9,0.4,0.6,1.1,6.9,1.7,3.7,2,2.3
Philadelphia 76ers,Eric Gordon,Philadelphia 76ers,Vet,21.1,97.1,7.2,1.6,1.3,0.3,0.3,0.7,0.7,5.3,0.8,4,0.8,1
Philadelphia 76ers,Jared McCain,Philadelphia 76ers,Rookie,13.7,95.6,7,1.4,1,0.3,0,0.4,0.8,5.8,1.1,2.9,1.1,1
Philadelphia 76ers,Justin Edwards,Philadelphia 76ers,Rookie,18.6,95.8,6.2,0.9,1.8,0.8,0.3,0.6,0.6,5.1,0.8,3,1,1.7
Philadelphia 76ers,Caleb Martin,Philadelphia 76ers,Vet,21,95.5,6.2,1.5,2.1,0.9,0.4,0.7,0.8,5.1,1.2,2.1,1.1,1.6
Philadelphia 76ers,Kenyon Martin Jr.,Philadelphia 76ers,Vet,11.4,95.7,3.6,0.6,1.3,0.6,0.3,0.3,0.4,2.5,0.7,0.7,1.5,1.4
Philadelphia 76ers,Ricky Council IV,Philadelphia 76ers,Sophomore,7.5,94.3,3.4,0.5,0.8,0.3,0.1,0.2,0.3,2.7,1,1.2,0.8,0.5
Philadelphia 76ers,Kyle Lowry,Philadelphia 76ers,Vet,14.3,96.3,3.3,2,1.2,0.3,0.2,0.6,0.7,2.4,0.7,1.8,0,1.6
Philadelphia 76ers,Adem Bona,Philadelphia 76ers,Rookie,6.8,94.4,2,0.2,1.1,0.6,0.4,0.2,0.3,1.2,0.6,0.1,0.8,1.1
Philadelphia 76ers,Reggie Jackson,Philadelphia 76ers,Vet,5,95,2,0.6,0.4,0.1,0,0.1,0.3,1.8,0.2,0.9,0.3,0.5
Philadelphia 76ers,Andre Drummond,Philadelphia 76ers,Vet,0,96.4,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Jeff Dowtin,Philadelphia 76ers,Vet,0,94.5,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,Pete Nance,Philadelphia 76ers,Sophomore,0,93.7,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Dyson Daniels,Atlanta Hawks,Vet,32.5,101.6,13.9,3.8,3.5,1.7,0.6,2.2,2,11.7,1.8,3.2,3.7,2.3
Atlanta Hawks,De'Andre Hunter,Atlanta Hawks,Vet,22.8,101.2,13.5,1.5,2.4,0.5,0.2,0.6,1.2,10.2,3.2,5.4,1.7,1.9
Atlanta Hawks,Onyeka Okongwu,Atlanta Hawks,Vet,28.5,101.3,13.2,2.5,5.6,3.4,1.1,0.9,1.4,9.4,2.9,1.3,5.2,2.6
Atlanta Hawks,Bogdan Bogdanovic,Atlanta Hawks,Vet,23.7,101.2,10.4,2.1,2.2,0.5,0.3,0.9,1.1,8.7,1.4,5.3,1.2,2
Atlanta Hawks,Vit Krejci,Atlanta Hawks,Vet,27,100.3,9.3,3.4,2.5,0.5,0.5,0.9,1.2,7.2,0.8,5.4,0.9,2.2
Atlanta Hawks,Larry Nance Jr.,Atlanta Hawks,Vet,20.1,99.7,7.6,1.8,3.5,1.5,0.4,0.9,0.7,6.2,0.7,2.9,1.7,1.8
Atlanta Hawks,Clint Capela,Atlanta Hawks,Vet,17.8,102.1,7.5,1,4.4,2.8,0.8,0.5,0.7,5.5,1.7,0.2,3.7,1.8
Atlanta Hawks,Garrison Mathews,Atlanta Hawks,Vet,15,102.6,5.9,1.1,1.3,0.3,0.2,0.5,0.5,4.6,1.2,3.7,0.2,1.5
Atlanta Hawks,David Roddy,Atlanta Hawks,Vet,4.7,99.7,1.8,0.4,0.8,0.2,0.1,0.1,0.3,1.4,0.3,0.6,0.4,0.3
Atlanta Hawks,Keaton Wallace,Atlanta Hawks,Rookie,2.3,97.8,0.9,0.3,0.2,0,0,0.1,0.1,0.8,0.1,0.4,0.1,0.2
Atlanta Hawks,Jalen Johnson,Atlanta Hawks,Vet,0,102.3,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Trae Young,Atlanta Hawks,Vet,0,102.1,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Dominick Barlow,Atlanta Hawks,Vet,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Cody Zeller,Atlanta Hawks,Vet,0,96.4,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Daeqwon Plowden,Atlanta Hawks,,0,97.2,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,Mouhamed Gueye,Atlanta Hawks,Sophomore,0,97.6,0,0,0,0,0,0,0,0,0,0,0,0
